keyword,state_code,state_name,presentation_count
Xenium,TX,Texas,35
Xenium,CA,California,31
Xenium,NY,New York,24
Xenium,MD,Maryland,11
Xenium,NC,North Carolina,11
Xenium,MA,Massachusetts,9
Xenium,CT,Connecticut,7
Xenium,VA,Virginia,6
Xenium,PA,Pennsylvania,4
Xenium,MO,Missouri,4
Xenium,WA,Washington,3
Xenium,FL,Florida,3
Xenium,MN,Minnesota,3
Xenium,IN,Indiana,3
Xenium,DC,District of Columbia,2
Xenium,IL,Illinois,2
Xenium,OR,Oregon,2
Xenium,NJ,New Jersey,2
Xenium,AL,Alabama,1
Xenium,GA,Georgia,1
Xenium,TN,Tennessee,1
Xenium,ME,Maine,1
Xenium,AZ,Arizona,1
Xenium,MI,Michigan,1
Xenium,DE,Delaware,1
Xenium + 5K,TX,Texas,11
Xenium + 5K,NY,New York,9
Xenium + 5K,VA,Virginia,6
Xenium + 5K,MD,Maryland,4
Xenium + 5K,WA,Washington,3
Xenium + 5K,MA,Massachusetts,3
Xenium + 5K,PA,Pennsylvania,2
Xenium + 5K,IN,Indiana,2
Xenium + 5K,IL,Illinois,2
Xenium + 5K,NC,North Carolina,2
Xenium + 5K,TN,Tennessee,1
Xenium + 5K,FL,Florida,1
Xenium + 5K,CA,California,1
Xenium + 5K,DC,District of Columbia,1
Visium,CA,California,38
Visium,TX,Texas,26
Visium,MD,Maryland,13
Visium,IL,Illinois,12
Visium,PA,Pennsylvania,11
Visium,FL,Florida,10
Visium,NY,New York,8
Visium,VA,Virginia,6
Visium,OH,Ohio,6
Visium,MA,Massachusetts,5
Visium,NM,New Mexico,5
Visium,NC,North Carolina,5
Visium,OR,Oregon,5
Visium,NH,New Hampshire,4
Visium,CO,Colorado,4
Visium,GA,Georgia,3
Visium,MN,Minnesota,3
Visium,IN,Indiana,3
Visium,MO,Missouri,2
Visium,TN,Tennessee,2
Visium,NJ,New Jersey,2
Visium,CT,Connecticut,1
Visium,WI,Wisconsin,1
Visium,WA,Washington,1
Visium,MI,Michigan,1
Visium,AL,Alabama,1
Chromium,MD,Maryland,6
Chromium,CA,California,3
Chromium,NY,New York,2
Chromium,NM,New Mexico,1
Chromium,IN,Indiana,1
Chromium,TX,Texas,1
Chromium,MI,Michigan,1
Chromium,MN,Minnesota,1
10X,CA,California,50
10X,NY,New York,30
10X,MD,Maryland,25
10X,TX,Texas,22
10X,MA,Massachusetts,13
10X,PA,Pennsylvania,13
10X,NC,North Carolina,12
10X,MN,Minnesota,10
10X,WA,Washington,10
10X,FL,Florida,6
10X,OR,Oregon,6
10X,IN,Indiana,5
10X,NJ,New Jersey,5
10X,OH,Ohio,5
10X,CT,Connecticut,4
10X,MO,Missouri,3
10X,MI,Michigan,3
10X,GA,Georgia,3
10X,DC,District of Columbia,3
10X,NM,New Mexico,3
10X,IL,Illinois,3
10X,VA,Virginia,3
10X,AL,Alabama,2
10X,TN,Tennessee,2
10X,WI,Wisconsin,1
10X,LA,Louisiana,1
10X,VT,Vermont,1
CosMx,CA,California,18
CosMx,WA,Washington,13
CosMx,MA,Massachusetts,13
CosMx,TX,Texas,12
CosMx,NY,New York,10
CosMx,GA,Georgia,10
CosMx,OH,Ohio,10
CosMx,PA,Pennsylvania,9
CosMx,AZ,Arizona,8
CosMx,MN,Minnesota,3
CosMx,MI,Michigan,3
CosMx,MD,Maryland,2
CosMx,FL,Florida,2
CosMx,DC,District of Columbia,2
CosMx,CT,Connecticut,2
CosMx,IL,Illinois,2
CosMx,TN,Tennessee,1
CosMx,NJ,New Jersey,1
CosMx,ND,North Dakota,1
CosMx,WI,Wisconsin,1
CosMx,MO,Missouri,1
GeoMx,TX,Texas,13
GeoMx,CA,California,12
GeoMx,PA,Pennsylvania,9
GeoMx,MA,Massachusetts,6
GeoMx,MD,Maryland,5
GeoMx,CT,Connecticut,3
GeoMx,NH,New Hampshire,2
GeoMx,NC,North Carolina,2
GeoMx,WA,Washington,2
GeoMx,TN,Tennessee,1
GeoMx,SC,South Carolina,1
GeoMx,VA,Virginia,1
GeoMx,MI,Michigan,1
GeoMx,FL,Florida,1
GeoMx,OH,Ohio,1
GeoMx,UT,Utah,1
GeoMx,LA,Louisiana,1
nCounter,WA,Washington,9
nCounter,MD,Maryland,6
nCounter,FL,Florida,5
nCounter,AL,Alabama,5
nCounter,CA,California,4
nCounter,HI,Hawaii,2
nCounter,MS,Mississippi,2
nCounter,KS,Kansas,2
nCounter,VA,Virginia,1
CellScape,MO,Missouri,4
CellScape,CA,California,2
CellScape,IL,Illinois,1
CellScape,WA,Washington,1
PaintScape,CA,California,5
PaintScape,NY,New York,1
PaintScape,WA,Washington,1
Beacon + Bruker,CA,California,2
Beacon + Bruker,WI,Wisconsin,1
Beacon + Bruker,WA,Washington,1
Bruker,WA,Washington,23
Bruker,CA,California,13
Bruker,TX,Texas,13
Bruker,MO,Missouri,9
Bruker,MA,Massachusetts,7
Bruker,NJ,New Jersey,6
Bruker,AL,Alabama,5
Bruker,PA,Pennsylvania,4
Bruker,FL,Florida,3
Bruker,MD,Maryland,3
Bruker,NM,New Mexico,2
Bruker,VA,Virginia,2
Bruker,MS,Mississippi,2
Bruker,KS,Kansas,1
Bruker,WI,Wisconsin,1
Bruker,NY,New York,1
Bruker,IL,Illinois,1
